date,state,district,pincode,bio_age_5_17,bio_age_17,state_temp,district_temp,state/ut,district_master,state/ut_master,district_master,state_final,district_final
2025-03-01,Jammu and Kashmir,Punch,185101,643,1091,Jammu and Kashmir,Punch,,,,,Jammu and Kashmir,Punch
2025-03-01,Uttar Pradesh,Bara Banki,225408,17,3,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Gujarat,Kachchh,370140,392,286,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Odisha,Baleswar,756032,250,452,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Uttar Pradesh,Bara Banki,225206,259,117,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Uttar Pradesh,Allahabad,221507,262,174,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Uttar Pradesh,Faizabad,224205,102,44,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Andhra Pradesh,Y. S. R,516193,17,14,Andhra Pradesh,Y. S. R,,,,,Andhra Pradesh,Y. S. R
2025-03-01,Uttar Pradesh,Allahabad,211010,66,31,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Gujarat,Kachchh,370165,328,329,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Gujarat,Kachchh,370605,225,106,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Andhra Pradesh,Ananthapuramu,515731,183,25,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Andhra Pradesh,Cuddapah,516502,151,59,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Gujarat,Kachchh,370425,46,20,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Odisha,JAJPUR,755001,28,35,Odisha,JAJPUR,,,,,Odisha,JAJPUR
2025-03-01,Uttar Pradesh,Bara Banki,227301,817,370,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Odisha,Baleswar,756085,49,53,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Karnataka,Belgaum,591302,160,252,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Uttar Pradesh,Allahabad,211006,208,175,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Andhra Pradesh,Ananthapuramu,515775,205,58,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Jammu and Kashmir,Badgam,193401,21,50,Jammu and Kashmir,Badgam,,,,,Jammu and Kashmir,Badgam
2025-03-01,Uttar Pradesh,Faizabad,224172,80,41,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Jammu and Kashmir,Badgam,191113,91,276,Jammu and Kashmir,Badgam,,,,,Jammu and Kashmir,Badgam
2025-03-01,Andhra Pradesh,N. T. R,520010,18,62,Andhra Pradesh,N. T. R,,,,,Andhra Pradesh,N. T. R
2025-03-01,Pondicherry,Pondicherry,605501,14,98,Pondicherry,Pondicherry,,,,,Pondicherry,Pondicherry
2025-03-01,Pondicherry,Pondicherry,607402,27,257,Pondicherry,Pondicherry,,,,,Pondicherry,Pondicherry
2025-03-01,Gujarat,Kachchh,370475,127,57,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Gujarat,Kachchh,370450,164,66,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Andhra Pradesh,Cuddapah,516105,108,68,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Haryana,Mewat,122108,464,478,Haryana,Mewat,,,,,Haryana,Mewat
2025-03-01,Andhra Pradesh,Cuddapah,516484,61,11,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Karnataka,Shimoga,577413,28,76,Karnataka,Shimoga,,,,,Karnataka,Shimoga
2025-03-01,Andhra Pradesh,Cuddapah,516503,152,55,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Pondicherry,Pondicherry,605010,23,101,Pondicherry,Pondicherry,,,,,Pondicherry,Pondicherry
2025-03-01,Karnataka,Bellary,583128,52,68,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Andhra Pradesh,Cuddapah,516175,200,85,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Uttar Pradesh,Faizabad,225402,873,156,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Karnataka,Bellary,583121,141,198,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Gujarat,Kachchh,370240,236,142,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Mysore,571301,43,99,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,Karnataka,Belgaum,591201,55,92,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Jammu and Kashmir,Punch,185111,592,1314,Jammu and Kashmir,Punch,,,,,Jammu and Kashmir,Punch
2025-03-01,Andhra Pradesh,Cuddapah,516439,54,21,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Karnataka,Bangalore,560049,53,126,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Pondicherry,Pondicherry,605502,15,95,Pondicherry,Pondicherry,,,,,Pondicherry,Pondicherry
2025-03-01,Odisha,Baleswar,756134,81,146,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Gujarat,Kachchh,370465,351,270,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Jharkhand,Seraikela-kharsawan,833216,47,88,Jharkhand,Seraikela-kharsawan,,,,,Jharkhand,Seraikela-kharsawan
2025-03-01,Andhra Pradesh,Cuddapah,516162,97,53,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Odisha,Baudh,762030,13,209,Odisha,Baudh,,,,,Odisha,Baudh
2025-03-01,Odisha,Baleswar,756040,153,120,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Karnataka,Bangalore,560017,28,125,Karnataka,Bangalore,,,,,Karnataka,Bangalore
